stationId,stationName,parkingQRBikeCnt,parkingELECBikeCnt,stationLongitude,stationLatitude,parkingTotBikeCnt,goo,dong
ST-134,318. 광교사거리 남측,11,1,126.98231506,37.56863403,12,중구,명동
ST-136,320. 을지로입구역 4번출구 앞,12,0,126.98358917,37.56622314,12,중구,명동
ST-137,321. KEB 하나금융그룹 명동사옥 옆,19,1,126.98413849,37.56546402,20,중구,명동
ST-138,322. 명동성당 앞,3,1,126.98696899,37.56447601,4,중구,명동
ST-140,324. 신세계백화점 본점 앞,9,1,126.9805069,37.56134415,10,중구,회현동
ST-142,326. 안국역 5번출구 앞,0,2,126.98616028,37.57624054,2,종로구,종로1·2·3·4가동
ST-143,327. 낙원상가 옆,2,1,126.9874649,37.57335663,3,종로구,종로1·2·3·4가동
ST-144,328. 탑골공원 앞,2,0,126.9881897,37.57039642,2,종로구,종로1·2·3·4가동
ST-145,329. 청계2가 사거리 옆,17,1,126.98788452,37.56848526,18,종로구,종로1·2·3·4가동
ST-147,331. 을지로2가 사거리 북측,18,0,126.98720551,37.56638336,18,중구,명동
ST-148,332. 을지로2가 사거리 남측,1,0,126.98779297,37.56599045,1,중구,명동
ST-150,334. 종로3가역 2번출구 뒤,1,0,126.99179077,37.5705986,1,종로구,종로1·2·3·4가동
ST-151,335. 종로3가역 15번출구 앞,4,0,126.99165344,37.57019424,4,종로구,종로1·2·3·4가동
ST-152,336. 충무로역 6번출구 앞,1,0,126.99311066,37.56144714,1,중구,필동
ST-153,337. 창경궁 입구,1,1,126.99647522,37.57897949,2,종로구,이화동
ST-154,338. 세운스퀘어 앞,0,1,126.99712372,37.57095718,1,종로구,종로1·2·3·4가동
ST-155,339. 종로4가 사거리,2,0,126.99819183,37.57106781,2,종로구,종로1·2·3·4가동
ST-156,340. 혜화동 로터리,0,0,127.00067902,37.58562851,0,종로구,혜화동
ST-157,341. 혜화역 3번출구 뒤,1,0,127.00178528,37.58156967,1,종로구,이화동
ST-158,342. 대학로 마로니에공원,3,1,127.00253296,37.57978439,4,종로구,이화동
ST-159,343. 힐스테이트창경궁 아파트 앞,2,0,127.00469971,37.57561111,2,종로구,종로5·6가동
ST-160,344. 성균관대 E하우스 앞,0,0,127.0065918,37.57419968,0,종로구,종로5·6가동
ST-161,345. 서울보증보험본사 앞,6,0,127.00070953,37.57330704,6,종로구,종로5·6가동
ST-162,346. 맥스타일 앞,3,2,127.00988007,37.56918335,5,중구,광희동
ST-163,347. 동대문역사문화공원역 9번출구 앞,0,0,127.00784302,37.56533051,0,중구,광희동
ST-183,348. 독립문역 사거리,8,1,126.96078491,37.57202911,9,종로구,교남동
ST-165,349. 어린이도서관,0,0,126.96858978,37.57633209,0,종로구,사직동
ST-167,351. 청운초교 앞 삼거리,0,0,126.97041321,37.58496857,0,종로구,청운효자동
ST-168,352. 중앙고입구 삼거리,3,0,126.98523712,37.58341599,3,종로구,가회동
ST-169,353. 재동초교 앞 삼거리,7,0,126.9849472,37.57938766,7,종로구,가회동
ST-170,354. 포르투갈 대사관 앞,14,2,126.98896027,37.57915497,16,종로구,가회동
ST-171,355. 서울사대부설초등학교 앞,1,1,127.00245667,37.57650757,2,종로구,이화동
ST-172,356. KT혜화지사 앞,7,2,127.00205994,37.57714462,9,종로구,이화동
ST-173,358. 성균관대입구 사거리 A,7,0,126.99853516,37.58250046,7,종로구,혜화동
ST-174,359. 원남동사거리,1,2,126.99768066,37.57606125,3,종로구,종로1·2·3·4가동
ST-175,361. 동묘앞역 1번출구 뒤,4,1,127.01590729,37.57324219,5,종로구,숭인1동
ST-176,362. 청계8가사거리 A,0,0,127.02304077,37.57219696,0,종로구,숭인2동
ST-177,363. 신설동역 11번출구 뒤,1,2,127.02285004,37.57559204,3,종로구,숭인2동
ST-178,364. 창신역 1번출구 앞,0,0,127.01508331,37.57933426,0,종로구,숭인1동
ST-180,367. 독립문역 3-1번출구 ,15,2,126.95851898,37.57415771,17,종로구,무악동
ST-181,368. SK 서린빌딩 앞,51,3,126.98053741,37.5692482,54,종로구,종로1·2·3·4가동
ST-185,370. 시청역(2호선) 9번출구 뒤,36,1,126.97483826,37.56322861,37,중구,소공동
ST-186,371. 동대입구역 6번출구 뒤,4,0,127.00553894,37.55887222,4,중구,장충동
ST-187,372. 약수역 3번출구 뒤,0,0,127.01119995,37.55429459,0,중구,약수동
ST-189,374. 청구역 2번출구 앞,0,0,127.01407623,37.5604744,0,중구,동화동
ST-194,379. 서울역9번출구,2,1,126.97335815,37.55599976,3,중구,회현동
ST-195,380. CJ제일제당 앞,11,1,127.00274658,37.56386566,12,중구,광희동
ST-196,381. 장충체육관,0,0,127.00698853,37.55853271,0,중구,장충동
ST-197,382. 약수역 10번출구 앞,0,1,127.01004791,37.55519867,1,중구,다산동
ST-198,383. 신당역 12번 출구 뒤,13,8,127.0164032,37.5658493,21,중구,신당동
